"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test the addition functionality with multiple input combinations.","0","test_add_numbers[3-5-8]","tests.integration","Sat Jul 19 07:37:01 UTC 2025","passed","Sat Jul 19 07:37:01 UTC 2025","","test_calculator","",""
"Tests the C Fibonacci function with various valid inputs.
                      Args: 
                      n (uint64): The input number for the Fibonacci calculation.
                      expected (uint64): The expected Fibonacci result for 'n'.","1","test_fibonacci[7-13]","tests.integration","Sat Jul 19 07:37:01 UTC 2025","passed","Sat Jul 19 07:37:01 UTC 2025","","test_fibonacci","",""
"Tests the C Fibonacci function with various valid inputs.
                      Args: 
                      n (uint64): The input number for the Fibonacci calculation.
                      expected (uint64): The expected Fibonacci result for 'n'.","1","test_fibonacci[3-2]","tests.integration","Sat Jul 19 07:37:01 UTC 2025","passed","Sat Jul 19 07:37:01 UTC 2025","","test_fibonacci","",""
"Test the subtraction functionality with multiple input combinations.","1","test_sub_numbers[-2--3-1]","tests.integration","Sat Jul 19 07:37:01 UTC 2025","passed","Sat Jul 19 07:37:01 UTC 2025","","test_calculator","",""
"Test the subtraction functionality with multiple input combinations.","0","test_sub_numbers[10-10-0]","tests.integration","Sat Jul 19 07:37:01 UTC 2025","passed","Sat Jul 19 07:37:01 UTC 2025","","test_calculator","",""
"Tests the C Fibonacci function with various valid inputs.
                      Args: 
                      n (uint64): The input number for the Fibonacci calculation.
                      expected (uint64): The expected Fibonacci result for 'n'.","1","test_fibonacci[5-5]","tests.integration","Sat Jul 19 07:37:01 UTC 2025","passed","Sat Jul 19 07:37:01 UTC 2025","","test_fibonacci","",""
"Test the subtraction functionality with multiple input combinations.","0","test_sub_numbers[5-4-1]","tests.integration","Sat Jul 19 07:37:01 UTC 2025","passed","Sat Jul 19 07:37:01 UTC 2025","","test_calculator","",""
"Test the subtraction functionality with multiple input combinations.","0","test_sub_numbers[0-0-01]","tests.integration","Sat Jul 19 07:37:01 UTC 2025","passed","Sat Jul 19 07:37:01 UTC 2025","","test_calculator","",""
"Tests the C Fibonacci function with various valid inputs.
                      Args: 
                      n (uint64): The input number for the Fibonacci calculation.
                      expected (uint64): The expected Fibonacci result for 'n'.","1","test_fibonacci[2-1]","tests.integration","Sat Jul 19 07:37:01 UTC 2025","passed","Sat Jul 19 07:37:01 UTC 2025","","test_fibonacci","",""
"Test the addition functionality with multiple input combinations.","0","test_add_numbers[-1--4--5]","tests.integration","Sat Jul 19 07:37:01 UTC 2025","passed","Sat Jul 19 07:37:01 UTC 2025","","test_calculator","",""
"Test the addition functionality with multiple input combinations.","1","test_add_numbers[0-0-0]","tests.integration","Sat Jul 19 07:37:01 UTC 2025","passed","Sat Jul 19 07:37:01 UTC 2025","","test_calculator","",""
"Tests the C Fibonacci function with various valid inputs.
                      Args: 
                      n (uint64): The input number for the Fibonacci calculation.
                      expected (uint64): The expected Fibonacci result for 'n'.","1","test_fibonacci[9-34]","tests.integration","Sat Jul 19 07:37:01 UTC 2025","passed","Sat Jul 19 07:37:01 UTC 2025","","test_fibonacci","",""
"Test the subtraction functionality with multiple input combinations.","1","test_sub_numbers[5-3-2]","tests.integration","Sat Jul 19 07:37:01 UTC 2025","passed","Sat Jul 19 07:37:01 UTC 2025","","test_calculator","",""
"Tests the C Fibonacci function with various valid inputs.
                      Args: 
                      n (uint64): The input number for the Fibonacci calculation.
                      expected (uint64): The expected Fibonacci result for 'n'.","1","test_fibonacci[20-6765]","tests.integration","Sat Jul 19 07:37:01 UTC 2025","passed","Sat Jul 19 07:37:01 UTC 2025","","test_fibonacci","",""
"Test the subtraction functionality with multiple input combinations.","0","test_sub_numbers[-1--4-3]","tests.integration","Sat Jul 19 07:37:01 UTC 2025","passed","Sat Jul 19 07:37:01 UTC 2025","","test_calculator","",""
